model,model_family,strategy,actual_device,selection_split,cost_scenario,cost_ratio,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp,fn_cost,fp_cost,total_cost
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.5763888888888888,0.02228786251342642,0.042916235780765255,0.5,42342,61,3641,83,5,1,18266
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.5725806451612904,0.019065520945220193,0.036902286902286904,0.51,42350,53,3653,71,5,1,18318
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.5825242718446602,0.01611170784103115,0.03135615364515286,0.52,42360,43,3664,60,5,1,18363
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.6067415730337079,0.014500537056928034,0.02832415420928403,0.53,42368,35,3670,54,5,1,18385
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.631578947368421,0.01288936627282492,0.02526315789473684,0.54,42375,28,3676,48,5,1,18408
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.6615384615384615,0.01154672395273899,0.022697281604645025,0.55,42381,22,3681,43,5,1,18427
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.6896551724137931,0.010741138560687433,0.021152829190904283,0.56,42385,18,3684,40,5,1,18438
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.6666666666666666,0.008592910848549946,0.016967126193001062,0.57,42387,16,3692,32,5,1,18476
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.6666666666666666,0.006981740064446832,0.013818761626361946,0.58,42390,13,3698,26,5,1,18503
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.6666666666666666,0.005907626208378088,0.011711471919084376,0.59,42392,11,3702,22,5,1,18521
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.6666666666666666,0.004833512352309345,0.00959744068248467,0.6,42394,9,3706,18,5,1,18539
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.75,0.004027926960257788,0.008012820512820512,0.61,42398,5,3709,15,5,1,18550
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.7333333333333333,0.002953813104189044,0.005883926183471516,0.62,42399,4,3713,11,5,1,18569
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.6923076923076923,0.0024167561761546724,0.004816697886004816,0.63,42399,4,3715,9,5,1,18579
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.7777777777777778,0.0018796992481203006,0.003750334851326011,0.64,42401,2,3717,7,5,1,18587
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.75,0.001611170784103115,0.003215434083601286,0.65,42401,2,3718,6,5,1,18592
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.75,0.001611170784103115,0.003215434083601286,0.66,42401,2,3718,6,5,1,18592
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.7142857142857143,0.0013426423200859291,0.002680246582685607,0.67,42401,2,3719,5,5,1,18597
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.6,0.0008055853920515575,0.0016090104585679806,0.68,42401,2,3721,3,5,1,18607
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.5,0.0005370569280343716,0.001072961373390558,0.69,42401,2,3722,2,5,1,18612
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.3333333333333333,0.0002685284640171858,0.0005366246310705661,0.7,42401,2,3723,1,5,1,18617
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.71,42401,2,3724,0,5,1,18622
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.72,42401,2,3724,0,5,1,18622
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.73,42402,1,3724,0,5,1,18621
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.74,42402,1,3724,0,5,1,18621
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.75,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.76,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.77,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.78,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.79,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.8,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.81,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.82,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.83,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.84,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.85,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.86,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.87,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.88,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.89,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.9,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.91,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.92,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.93,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.94,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.95,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.96,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.97,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.98,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.99,42403,0,3724,0,5,1,18620
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn10_fp1,10:1,0.7641809727961154,0.2569212584816172,0.08281688884925766,0.9975832438238453,0.15293730188135524,0.01,1260,41143,9,3715,10,1,41233
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn10_fp1,10:1,0.7641809727961154,0.2569212584816172,0.09276366435719785,0.9707303974221267,0.1693446385909027,0.02,7048,35355,109,3615,10,1,36445
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn10_fp1,10:1,0.7641809727961154,0.2569212584816172,0.10650018362100624,0.9344790547798066,0.1912087912087912,0.03,13207,29196,244,3480,10,1,31636
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn10_fp1,10:1,0.7641809727961154,0.2569212584816172,0.11941867207886343,0.8848012889366272,0.21043556009707498,0.04,18106,24297,429,3295,10,1,28587
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn10_fp1,10:1,0.7641809727961154,0.2569212584816172,0.1330523268190914,0.8391514500537057,0.22968652383227373,0.05,22041,20362,599,3125,10,1,26352
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn10_fp1,10:1,0.7641809727961154,0.2569212584816172,0.14479794486710798,0.7870569280343717,0.24459651172494368,0.06,25092,17311,793,2931,10,1,25241
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn10_fp1,10:1,0.7641809727961154,0.2569212584816172,0.15647574085660657,0.7387218045112782,0.2582492372682469,0.07,27573,14830,973,2751,10,1,24560
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn10_fp1,10:1,0.7641809727961154,0.2569212584816172,0.1673522690173033,0.6882384532760473,0.2692368296654236,0.08,29651,12752,1161,2563,10,1,24362
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn10_fp1,10:1,0.7641809727961154,0.2569212584816172,0.17865671641791045,0.6428571428571429,0.27960756832515765,0.09,31397,11006,1330,2394,10,1,24306
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn10_fp1,10:1,0.7641809727961154,0.2569212584816172,0.19094153636981645,0.6033834586466166,0.2900852052672347,0.1,32882,9521,1477,2247,10,1,24291
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn10_fp1,10:1,0.7641809727961154,0.2569212584816172,0.2022256331542594,0.5660580021482277,0.2979926491376873,0.11,34087,8316,1616,2108,10,1,24476
