model,model_family,strategy,calibration_method,split,bin,lower,upper,count,mean_predicted_probability,observed_default_rate,absolute_gap,weighted_gap
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,valid,3,0.2,0.30000000000000004,1284,0.24184926214843214,0.279595015576324,0.037745753427891854,0.0010506980163768106
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,valid,4,0.30000000000000004,0.4,609,0.3458542092607271,0.3284072249589491,0.01744698430177799,0.0002303469430004725
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,valid,5,0.4,0.5,372,0.4447067746939861,0.3870967741935484,0.05761000050043774,0.00046460685035148265
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,valid,6,0.5,0.6000000000000001,215,0.5488520876017396,0.413953488372093,0.13489859922964664,0.0006287683750162384
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,valid,7,0.6000000000000001,0.7000000000000001,134,0.6487681264597501,0.5074626865671642,0.14130543989258593,0.0004104955654086872
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,valid,8,0.7000000000000001,0.8,91,0.7434023870075531,0.4945054945054945,0.2488968925020586,0.0004910273206080459
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,valid,9,0.8,0.9,47,0.8382071539556618,0.6808510638297872,0.1573560901258746,0.00016033421284532065
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,valid,10,0.9,1.0,8,0.9218372996161085,0.75,0.1718372996161085,2.9802467035117567e-05
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,test,1,0.0,0.1,38275,0.05316608701670953,0.051129980404964075,0.0020361066117454557,0.0016895089766201428
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,test,2,0.1,0.2,4965,0.13557533227072527,0.17260825780463243,0.03703292553390716,0.003986135566497909
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,test,3,0.2,0.30000000000000004,1353,0.2428945864870574,0.25942350332594233,0.01652891683888494,0.0004848272049561281
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,test,4,0.30000000000000004,0.4,629,0.34344437400030536,0.2988871224165342,0.04455725158377116,0.0006075944944651085
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,test,5,0.4,0.5,365,0.4453208311668702,0.3698630136986301,0.0754578174682401,0.0005970928821711284
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,test,6,0.5,0.6000000000000001,216,0.5461474680435481,0.4027777777777778,0.1433696902657703,0.0006713606585602008
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,test,7,0.6000000000000001,0.7000000000000001,144,0.6495946127820356,0.3819444444444444,0.26765016833759114,0.0008355545394370569
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,test,8,0.7000000000000001,0.8,104,0.7448449415774506,0.46153846153846156,0.28330648003898906,0.0006387554777907703
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,test,9,0.8,0.9,57,0.8421387787951999,0.6140350877192983,0.22810369107590167,0.0002818720140335681
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,test,10,0.9,1.0,19,0.9274143066505003,0.5789473684210527,0.34846693822944763,0.00014353571284409357
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,valid,1,0.0,0.1,34829,0.04346953024778202,0.04346952252433317,7.723448852692272e-09,5.831725455599088e-09
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,valid,2,0.1,0.2,8016,0.14134231536926148,0.14134231536926148,0.0,0.0
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,valid,3,0.2,0.30000000000000004,1978,0.2724974721941355,0.2724974721941355,0.0,0.0
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,valid,4,0.30000000000000004,0.4,807,0.3667905824039653,0.3667905824039653,0.0,0.0
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,valid,5,0.4,0.5,231,0.41991341991341985,0.4199134199134199,5.551115123125783e-17,2.7799501234462586e-19
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,valid,6,0.5,0.6000000000000001,210,0.5047619047619047,0.5047619047619047,0.0,0.0
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,valid,7,0.6000000000000001,0.7000000000000001,37,0.6486486486486488,0.6486486486486487,1.1102230246251565e-16,8.90546792792308e-20
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,valid,8,0.7000000000000001,0.8,8,0.75,0.75,0.0,0.0
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,valid,9,0.8,0.9,11,0.8181818181818182,0.8181818181818182,0.0,0.0
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,valid,10,0.9,1.0,0,,,,0.0
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,test,1,0.0,0.1,34702,0.043203548757350906,0.043801509999423664,0.0005979612420727587,0.00044985477101066343
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,test,2,0.1,0.2,7963,0.14085494384622205,0.1475574532211478,0.0067025093749257525,0.001157068141273739
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,test,3,0.2,0.30000000000000004,2124,0.2721607316941039,0.24670433145009416,0.02545640024400972,0.0011721853603806152
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,test,4,0.30000000000000004,0.4,797,0.3658847533967182,0.33626097867001253,0.029623774726705687,0.0005118509432042932
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,test,5,0.4,0.5,233,0.41921564663947375,0.39914163090128757,0.02007401573818618,0.00010139930337974245
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,test,6,0.5,0.6000000000000001,229,0.5048244867543793,0.4192139737991266,0.08561051295525268,0.0004250180472771449
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,test,7,0.6000000000000001,0.7000000000000001,39,0.6486486486486488,0.5897435897435898,0.05890505890505904,4.980374395250727e-05
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,test,8,0.7000000000000001,0.8,16,0.7526898000110837,0.625,0.12768980001108365,4.429156026139438e-05
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,test,9,0.8,0.9,24,0.8178906439693563,0.625,0.1928906439693563,0.00010036151181010149
stage5_lightgbm_raw_gpu,lightgbm,raw,isotonic,test,10,0.9,1.0,0,,,,0.0
stage5_xgboost_raw_cuda,xgboost,raw,raw,valid,1,0.0,0.1,34026,0.04307550032310974,0.04258508199612061,0.0004904183269891296,0.0003617615278282161
stage5_xgboost_raw_cuda,xgboost,raw,raw,valid,2,0.1,0.2,8339,0.13915549332213667,0.1316704640844226,0.007485029237714075,0.001353169701331057
stage5_xgboost_raw_cuda,xgboost,raw,raw,valid,3,0.2,0.30000000000000004,2443,0.24109671212125888,0.2664756446991404,0.02537893257788154,0.0013441310357873828
stage5_xgboost_raw_cuda,xgboost,raw,raw,valid,4,0.30000000000000004,0.4,905,0.3418489890533258,0.35359116022099446,0.01174217116766868,0.00023037840975437715
stage5_xgboost_raw_cuda,xgboost,raw,raw,valid,5,0.4,0.5,292,0.44167475514624216,0.4589041095890411,0.01722935444279894,0.00010906782355881133
stage5_xgboost_raw_cuda,xgboost,raw,raw,valid,6,0.5,0.6000000000000001,111,0.5376799117337476,0.5855855855855856,0.04790567385183797,0.00011528020026349025
stage5_xgboost_raw_cuda,xgboost,raw,raw,valid,7,0.6000000000000001,0.7000000000000001,11,0.6330735466697,0.6363636363636364,0.0032900896939364044,7.845944161402313e-07
stage5_xgboost_raw_cuda,xgboost,raw,raw,valid,8,0.7000000000000001,0.8,0,,,,0.0
stage5_xgboost_raw_cuda,xgboost,raw,raw,valid,9,0.8,0.9,0,,,,0.0
stage5_xgboost_raw_cuda,xgboost,raw,raw,valid,10,0.9,1.0,0,,,,0.0
stage5_xgboost_raw_cuda,xgboost,raw,raw,test,1,0.0,0.1,33879,0.042777356052826024,0.042386138906107027,0.0003912171467189973,0.0002873381254729965
stage5_xgboost_raw_cuda,xgboost,raw,raw,test,2,0.1,0.2,8361,0.13953594857800763,0.1374237531395766,0.002112195438431025,0.0003828574600715806
