model,model_family,strategy,calibration_method,selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5808823529411765,0.02121374865735768,0.04093264248704663,0.51,42346,57,3645,79
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5867768595041323,0.019065520945220193,0.03693107932379714,0.52,42353,50,3653,71
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.580952380952381,0.016380236305048337,0.03186210498824758,0.53,42359,44,3663,61
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5903614457831325,0.013157894736842105,0.02574205411084844,0.54,42369,34,3675,49
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.6081081081081081,0.012083780880773363,0.023696682464454975,0.55,42374,29,3679,45
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.6,0.00966702470461869,0.019027484143763214,0.56,42379,24,3688,36
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.6046511627906976,0.006981740064446832,0.01380408813379347,0.57,42386,17,3698,26
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.6666666666666666,0.00644468313641246,0.01276595744680851,0.58,42391,12,3700,24
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.6333333333333333,0.00510204081632653,0.010122535961640916,0.59,42392,11,3705,19
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.6818181818181818,0.004027926960257788,0.00800854244527496,0.6,42396,7,3709,15
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.6666666666666666,0.00322234156820623,0.006413682522715126,0.61,42397,6,3712,12
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.6428571428571429,0.0024167561761546724,0.004815409309791332,0.62,42398,5,3715,9
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.6363636363636364,0.0018796992481203006,0.003748326639892905,0.63,42399,4,3717,7
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.6,0.001611170784103115,0.0032137118371719335,0.64,42399,4,3718,6
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5714285714285714,0.0010741138560687433,0.0021441972661484857,0.65,42400,3,3720,4
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.4,0.0005370569280343716,0.0010726736390453205,0.66,42400,3,3722,2
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5,0.0005370569280343716,0.001072961373390558,0.67,42401,2,3722,2
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5,0.0005370569280343716,0.001072961373390558,0.68,42401,2,3722,2
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.69,42401,2,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.7,42401,2,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.71,42402,1,3724,0
