selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
valid,0.7556212013351608,0.24106769402917658,0.21485194684075543,0.49489795918367346,0.29962607706064054,0.66,35668,6735,1881,1843
valid,0.7556212013351608,0.24106769402917658,0.2214898644447208,0.47824919441460795,0.3027624309392265,0.67,36143,6260,1943,1781
valid,0.7556212013351608,0.24106769402917658,0.22899439850626835,0.4610633727175081,0.3060060595259312,0.68,36622,5781,2007,1717
valid,0.7556212013351608,0.24106769402917658,0.2357163364915303,0.44092373791621914,0.3072029934518241,0.69,37079,5324,2082,1642
valid,0.7556212013351608,0.24106769402917658,0.243117125524965,0.41970998925886144,0.30788929380478675,0.7,37537,4866,2161,1563
valid,0.7556212013351608,0.24106769402917658,0.25139193521174286,0.40010741138560685,0.30877629261216455,0.71,37966,4437,2234,1490
valid,0.7556212013351608,0.24106769402917658,0.26034197462768893,0.3802363050483351,0.30906908217832585,0.72,38380,4023,2308,1416
valid,0.7556212013351608,0.24106769402917658,0.267483922829582,0.35741138560687435,0.3059770114942529,0.73,38758,3645,2393,1331
valid,0.7556212013351608,0.24106769402917658,0.2754875886524823,0.333780880773362,0.3018455560951918,0.74,39134,3269,2481,1243
valid,0.7556212013351608,0.24106769402917658,0.28637922586967174,0.31390977443609025,0.2995131949782219,0.75,39490,2913,2555,1169
valid,0.7556212013351608,0.24106769402917658,0.2971211298207496,0.2937701396348013,0.2954361328652444,0.76,39815,2588,2630,1094
valid,0.7556212013351608,0.24106769402917658,0.30619684082624543,0.2706766917293233,0.28734321550741165,0.77,40119,2284,2716,1008
valid,0.7556212013351608,0.24106769402917658,0.31623641304347827,0.25,0.27924415116976603,0.78,40390,2013,2793,931
valid,0.7556212013351608,0.24106769402917658,0.33204184424641614,0.23012889366272826,0.271847739888977,0.79,40679,1724,2867,857
valid,0.7556212013351608,0.24106769402917658,0.3449508489722967,0.20730397422126745,0.2589734988258974,0.8,40937,1466,2952,772
valid,0.7556212013351608,0.24106769402917658,0.3561924257932446,0.18689581095596133,0.2451567453328637,0.81,41145,1258,3028,696
valid,0.7556212013351608,0.24106769402917658,0.3735871505056514,0.1686358754027927,0.23237742830712305,0.82,41350,1053,3096,628
valid,0.7556212013351608,0.24106769402917658,0.38876889848812096,0.14500537056928034,0.2112262859378056,0.83,41554,849,3184,540
valid,0.7556212013351608,0.24106769402917658,0.3957968476357268,0.12137486573576799,0.18577887381833127,0.84,41713,690,3272,452
valid,0.7556212013351608,0.24106769402917658,0.4041884816753927,0.10365198711063373,0.16499251976918144,0.85,41834,569,3338,386
valid,0.7556212013351608,0.24106769402917658,0.41923076923076924,0.08780880773361976,0.14520426287744229,0.86,41950,453,3397,327
valid,0.7556212013351608,0.24106769402917658,0.4337152209492635,0.07116004296455425,0.12226066897347174,0.87,42057,346,3459,265
valid,0.7556212013351608,0.24106769402917658,0.46205357142857145,0.055585392051557464,0.09923298178331735,0.88,42162,241,3517,207
valid,0.7556212013351608,0.24106769402917658,0.4711864406779661,0.03732545649838883,0.06917143568051755,0.89,42247,156,3585,139
valid,0.7556212013351608,0.24106769402917658,0.4845360824742268,0.025241675617615467,0.0479836651352731,0.9,42303,100,3630,94
valid,0.7556212013351608,0.24106769402917658,0.4957983193277311,0.015843179377013964,0.030705178246161854,0.91,42343,60,3665,59
valid,0.7556212013351608,0.24106769402917658,0.4927536231884058,0.009129967776584319,0.01792776166622726,0.92,42368,35,3690,34
valid,0.7556212013351608,0.24106769402917658,0.45161290322580644,0.0037593984962406013,0.0074567243675099865,0.93,42386,17,3710,14
valid,0.7556212013351608,0.24106769402917658,0.7,0.0018796992481203006,0.003749330476700589,0.94,42400,3,3717,7
valid,0.7556212013351608,0.24106769402917658,1.0,0.0002685284640171858,0.0005369127516778523,0.95,42403,0,3723,1
valid,0.7556212013351608,0.24106769402917658,0.0,0.0,0.0,0.96,42403,0,3724,0
valid,0.7556212013351608,0.24106769402917658,0.0,0.0,0.0,0.97,42403,0,3724,0
valid,0.7556212013351608,0.24106769402917658,0.0,0.0,0.0,0.98,42403,0,3724,0
valid,0.7556212013351608,0.24106769402917658,0.0,0.0,0.0,0.99,42403,0,3724,0
